connected
8518,30.0,0.0
8550,5.0,0.0
8559,8.0,0.0
8578,3.0,31.363177745731686
8597,11.0,0.0
8618,21.0,53.16032442762524
8636,30.0,155.20914248979437
8659,39.0,280.27853498718804
8682,46.0,432.9063610965403
8716,29.0,569.1013773662634
8747,13.0,264.96798496716866
8767,-0.0,70.11389182056539
8785,-20.0,0.0
8807,-30.0,-100.20852385682272
8835,-55.0,-196.1949711498511
8875,-25.0,-535.64729305491
8896,-17.0,-145.03891792080367
8914,-25.0,-76.5511692349267
8937,-34.0,-145.03891792080367
8973,-45.0,-241.4118114999338
8998,-14.0,-384.1236775375385
9019,8.0,-55.49222332954082
9051,-0.0,31.363177745731686
9067,-3.0,0.0
9080,5.0,0.0
9089,6.0,0.0
9110,11.0,19.47137314539828
9131,-1.0,53.16032442762524
9149,-13.0,0.0
9170,-7.0,-49.07972343857305
9188,-17.0,-17.59646536318374
9209,-20.0,-76.5511692349267
9231,-1.0,-100.20852385682272
9251,-8.0,0.0
9271,-18.0,-21.954224048133966
9294,-30.0,-84.15588768577707
9312,-31.0,-196.1949711498511
9333,-35.0,-207.1496854782285
9356,-50.0,-253.29038153179795
9377,2.0,-457.39481530056275
9396,-34.0,0.0
9416,-27.0,-241.4118114999338
9437,-48.0,-164.76604305829207
9457,-69.0,-427.4788885588929
9480,-44.0,-779.9573876593881
9501,-10.0,-370.0829081905084
9520,2.0,-31.775908647071027
9546,-3.0,0.0
9557,-17.0,0.0
9574,-23.0,-76.5511692349267
9616,-8.0,-126.32257877773687
9635,-3.0,-21.954224048133966
9657,-8.0,0.0
9680,3.0,-21.954224048133966
9700,29.0,0.0
9727,57.0,264.96798496716866
9751,39.0,811.8663483805349
9786,28.0,432.9063610965403
9840,214.0,250.0004435907207
9882,269.0,7269.348598451948
9921,302.0,10619.385725944452
9963,46.0,12863.861917996748
10003,-13.0,569.1013773662634
10045,-34.0,-49.07972343857305
10086,-52.0,-241.4118114999338
10125,55.0,-488.1074987575781
10180,-96.0,765.2104316813275
10223,-91.0,-1348.097669785768
10264,-102.0,-1233.7566688985903
10303,-32.0,-1490.556380889791
10365,-25.0,-218.3390743982094
10408,-52.0,-145.03891792080367
10449,23.0,-488.1074987575781
10503,207.0,180.460829898568
10542,214.0,6879.5928511003485
10583,119.0,7269.348598451948
10621,46.0,2749.0409057819875
10663,-10.0,569.1013773662634
10719,-92.0,-31.775908647071027
10760,-176.0,-1256.3028811883814
10801,-54.0,-3680.5472809129465
10840,-196.0,-519.6062885245944
10868,-253.0,-4399.124146424687
10932,-254.0,-6715.349270358739
10965,-331.0,-6759.387905912045
11028,-412.0,-10482.210609281221
11067,-440.0,-15065.46626956356
