,motorspeed,Šp‘¬“x,,,,,,motorSpeed,,,,,,,Šp‘¬“x
25571,85,-1368.966148,,,46968,,-683.2658888,-115,,,,,,25571,-1368.966148
25592,-90,-1277.721162,,,47567,,-683.2658888,69,,,,,,25592,-1277.721162
25627,-142,1392.103301,,,47949,,-683.2658888,71,,,,,,25627,1392.103301
25648,-136,2758.92704,,,49960,,-683.2658888,68,,,,,,25648,2758.92704
25669,-92,2585.925815,,,51389,,-683.2658888,44,,,,,,25669,2585.925815
25690,7,1438.763594,,,51947,,-683.2658888,66,,,,,,25690,1438.763594
25712,66,-30.19637146,,,19297,,-665.046073,42,,,,,,25712,-30.19637146
25733,79,-874.2257664,,,20597,,-665.046073,27,,,,,,25733,-874.2257664
25766,88,-1144.849335,,,20667,,-665.046073,-71,,,,,,25766,-1144.849335
25787,59,-1345.958617,,,28900,,-665.046073,63,,,,,,25787,-1345.958617
25807,24,-738.9000851,,,30188,,-665.046073,65,,,,,,25807,-738.9000851
25829,-9,-191.7010809,,,32915,,-665.046073,59,,,,,,25829,-191.7010809
25851,-2,44.0221717,,,34246,,-665.046073,35,,,,,,25851,44.0221717
25871,1,4.611611278,,,34458,,-665.046073,58,,,,,,25871,4.611611278
25893,4,-1.630450804,,,34478,,-665.046073,63,,,,,,25893,-1.630450804
25914,14,-13.04360643,,,35923,,-665.046073,38,,,,,,25914,-13.04360643
25934,18,-85.4082361,,,37137,,-665.046073,-12,,,,,,25934,-85.4082361
25954,9,-124.5135045,,,42475,,-665.046073,136,,,,,,25954,-124.5135045
25974,-5,-44.0221717,,,47406,,-665.046073,62,,,,,,25974,-44.0221717
26007,-2,18.22899415,,,49403,,-665.046073,44,,,,,,26007,18.22899415
26019,-1,4.611611278,,,49720,,-665.046073,96,,,,,,26019,4.611611278
26030,-2,1.630450804,,,51564,,-665.046073,59,,,,,,26030,1.630450804
26039,-2,4.611611278,,,52086,,-665.046073,52,,,,,,26039,4.611611278
26048,-9,4.611611278,,,17383,,-646.9911481,51,,,,,,26048,4.611611278
26066,-7,44.0221717,,,34406,,-646.9911481,78,,,,,,26066,44.0221717
26076,-12,30.19637146,,,34543,,-646.9911481,56,,,,,,26076,30.19637146
26086,-9,67.77656714,,,35844,,-646.9911481,36,,,,,,26086,67.77656714
26102,-8,44.0221717,,,36701,,-646.9911481,58,,,,,,26102,44.0221717
26126,-5,36.89289023,,,39587,,-646.9911481,48,,,,,,26126,36.89289023
26147,-5,18.22899415,,,51638,,-646.9911481,102,,,,,,26147,18.22899415
26163,-5,18.22899415,,,52061,,-646.9911481,49,,,,,,26163,18.22899415
26172,0,18.22899415,,,30453,,-611.3820933,49,,,,,,26172,18.22899415
26186,2,0,,,35557,,-611.3820933,44,,,,,,26186,0
26195,5,-4.611611278,,,36664,,-611.3820933,59,,,,,,26195,-4.611611278
26212,7,-18.22899415,,,39494,,-611.3820933,38,,,,,,26212,-18.22899415
26223,7,-30.19637146,,,39579,,-611.3820933,54,,,,,,26223,-30.19637146
26232,4,-30.19637146,,,39744,,-611.3820933,113,,,,,,26232,-30.19637146
26253,1,-13.04360643,,,44860,,-611.3820933,42,,,,,,26253,-13.04360643
26263,5,-1.630450804,,,46087,,-611.3820933,82,,,,,,26263,-1.630450804
26274,11,-18.22899415,,,46402,,-611.3820933,21,,,,,,26274,-18.22899415
26295,15,-59.4835291,,,48022,,-611.3820933,46,,,,,,26295,-59.4835291
26328,8,-94.72063213,,,52094,,-611.3820933,51,,,,,,26328,-94.72063213
26349,0,-36.89289023,,,16237,,-593.8311337,35,,,,,,26349,-36.89289023
26369,-2,0,,,17406,,-593.8311337,59,,,,,,26369,0
26389,-4,4.611611278,,,20627,,-593.8311337,99,,,,,,26389,4.611611278
26409,-9,13.04360643,,,34765,,-593.8311337,18,,,,,,26409,13.04360643
26429,-12,44.0221717,,,35604,,-593.8311337,49,,,,,,26429,44.0221717
26449,-8,67.77656714,,,42588,,-593.8311337,17,,,,,,26449,67.77656714
26469,-8,36.89289023,,,49866,,-593.8311337,44,,,,,,26469,36.89289023
26488,-5,36.89289023,,,52101,,-593.8311337,42,,,,,,26488,36.89289023
26518,2,18.22899415,,,52123,,-593.8311337,44,,,,,,26518,18.22899415
26540,7,-4.611611278,,,52148,,-593.8311337,48,,,,,,26540,-4.611611278
26560,8,-30.19637146,,,30434,,-559.2446256,59,,,,,,26560,-30.19637146
26580,9,-36.89289023,,,30464,,-559.2446256,44,,,,,,26580,-36.89289023
26600,11,-44.0221717,,,34562,,-559.2446256,45,,,,,,26600,-44.0221717
26637,12,-59.4835291,,,34589,,-559.2446256,36,,,,,,26637,-59.4835291
26657,11,-67.77656714,,,35623,,-559.2446256,38,,,,,,26657,-67.77656714
26679,17,-59.4835291,,,35884,,-559.2446256,62,,,,,,26679,-59.4835291
26700,15,-114.282855,,,40735,,-559.2446256,49,,,,,,26700,-114.282855
26719,8,-94.72063213,,,40746,,-559.2446256,58,,,,,,26719,-94.72063213
26740,-1,-36.89289023,,,44204,,-559.2446256,56,,,,,,26740,-36.89289023
26762,-1,1.630450804,,,46119,,-559.2446256,22,,,,,,26762,1.630450804
26780,1,1.630450804,,,52045,,-559.2446256,66,,,,,,26780,1.630450804
26799,-1,-1.630450804,,,52068,,-559.2446256,55,,,,,,26799,-1.630450804
26820,-1,1.630450804,,,15954,,-542.2125371,61,,,,,,26820,1.630450804
26838,-7,1.630450804,,,34990,,-542.2125371,48,,,,,,26838,1.630450804
26860,-2,30.19637146,,,35010,,-542.2125371,62,,,,,,26860,30.19637146
26881,2,4.611611278,,,35286,,-542.2125371,34,,,,,,26881,4.611611278
26900,9,-4.611611278,,,39595,,-542.2125371,17,,,,,,26900,-4.611611278
26910,9,-44.0221717,,,46304,,-542.2125371,58,,,,,,26910,-44.0221717
26918,7,-44.0221717,,,47187,,-542.2125371,-46,,,,,,26918,-44.0221717
26937,12,-30.19637146,,,50133,,-542.2125371,44,,,,,,26937,-30.19637146
26952,11,-67.77656714,,,51007,,-542.2125371,11,,,,,,26952,-67.77656714
26962,7,-59.4835291,,,52156,,-542.2125371,42,,,,,,26962,-59.4835291
26972,8,-30.19637146,,,15622,,-508.6797471,-72,,,,,,26972,-30.19637146
26981,8,-36.89289023,,,16131,,-508.6797471,105,,,,,,26981,-36.89289023
26997,5,-36.89289023,,,16409,,-508.6797471,93,,,,,,26997,-36.89289023
27006,-4,-18.22899415,,,17244,,-508.6797471,46,,,,,,27006,-18.22899415
27057,-7,13.04360643,,,17254,,-508.6797471,39,,,,,,27057,13.04360643
27065,-7,30.19637146,,,34397,,-508.6797471,54,,,,,,27065,30.19637146
27083,0,30.19637146,,,34897,,-508.6797471,46,,,,,,27083,30.19637146
27101,11,0,,,34905,,-508.6797471,45,,,,,,27101,0
27120,12,-59.4835291,,,35584,,-508.6797471,51,,,,,,27120,-59.4835291
27140,17,-67.77656714,,,37059,,-508.6797471,68,,,,,,27140,-67.77656714
27159,14,-114.282855,,,39464,,-508.6797471,63,,,,,,27159,-114.282855
27179,12,-85.4082361,,,46721,,-508.6797471,65,,,,,,27179,-85.4082361
27199,0,-67.77656714,,,47302,,-508.6797471,63,,,,,,27199,-67.77656714
27212,-18,0,,,48032,,-508.6797471,35,,,,,,27212,0
27221,-22,124.5135045,,,51381,,-508.6797471,56,,,,,,27221,124.5135045
27237,-27,168.2448272,,,53106,,-508.6797471,35,,,,,,27237,168.2448272
27246,-31,228.7459141,,,15414,,-492.1828421,-45,,,,,,27246,228.7459141
27255,-34,281.4169423,,,29660,,-492.1828421,83,,,,,,27255,281.4169423
27274,-35,323.2407269,,,30491,,-492.1828421,25,,,,,,27274,323.2407269
27299,-19,337.6056963,,,34019,,-492.1828421,59,,,,,,27299,337.6056963
27308,-27,135.0324354,,,34579,,-492.1828421,49,,,,,,27308,135.0324354
27319,-25,228.7459141,,,34918,,-492.1828421,41,,,,,,27319,228.7459141
27328,22,203.8063504,,,40372,,-492.1828421,42,,,,,,27328,203.8063504
27339,90,-168.2448272,,,44801,,-492.1828421,58,,,,,,27339,-168.2448272
27356,149,-1392.103301,,,49952,,-492.1828421,56,,,,,,27356,-1392.103301
27367,162,-2965.426073,,,51246,,-492.1828421,42,,,,,,27367,-2965.426073
27378,113,-3361.864622,,,53603,,-492.1828421,59,,,,,,27378,-3361.864622
27388,42,-1958.508065,,,18683,,-475.8682328,68,,,,,,27388,-1958.508065
27397,-15,-443.7942129,,,28469,,-475.8682328,66,,,,,,27397,-443.7942129
27417,-65,94.72063213,,,30481,,-475.8682328,45,,,,,,27417,94.72063213
27425,-110,854.4324506,,,33943,,-475.8682328,34,,,,,,27425,854.4324506
27435,-110,1881.034352,,,35383,,-475.8682328,17,,,,,,27435,1881.034352
27444,-98,1881.034352,,,35565,,-475.8682328,46,,,,,,27444,1881.034352
27453,-88,1581.782668,,,36739,,-475.8682328,56,,,,,,27453,1581.782668
27462,-89,1345.958617,,,40365,,-475.8682328,45,,,,,,27462,1345.958617
27479,-140,1368.966148,,,40761,,-475.8682328,31,,,,,,27479,1368.966148
27488,-221,2700.84557,,,42269,,-475.8682328,44,,,,,,27488,2700.84557
27498,-254,5356.685015,,,42275,,-475.8682328,39,,,,,,27498,5356.685015
27507,-244,6600.217907,,,47106,,-475.8682328,9,,,,,,27507,6600.217907
27516,-238,6214.303196,,,47135,,-475.8682328,61,,,,,,27516,6214.303196
27525,-218,5986.502038,,,49413,,-475.8682328,34,,,,,,27525,5986.502038
27540,-153,5247.983242,,,49874,,-475.8682328,35,,,,,,27540,5247.983242
27549,-93,3085.637084,,,50141,,-475.8682328,27,,,,,,27549,3085.637084
27561,-36,1462.285326,,,51399,,-475.8682328,-1,,,,,,27561,1462.285326
27571,-15,352.1773736,,,52131,,-475.8682328,51,,,,,,27571,352.1773736
27580,-22,94.72063213,,,52172,,-475.8682328,29,,,,,,27580,94.72063213
27597,-48,168.2448272,,,19317,,-443.7942129,31,,,,,,27597,168.2448272
27606,-90,542.2125371,,,27397,,-443.7942129,-15,,,,,,27606,542.2125371
27614,-98,1392.103301,,,29735,,-443.7942129,-7,,,,,,27614,1392.103301
27624,-98,1581.782668,,,30519,,-443.7942129,29,,,,,,27624,1581.782668
27634,-98,1581.782668,,,32905,,-443.7942129,55,,,,,,27634,1581.782668
27642,-88,1581.782668,,,33294,,-443.7942129,25,,,,,,27642,1581.782668
27657,-86,1345.958617,,,37041,,-443.7942129,46,,,,,,27657,1345.958617
27668,-100,1300.335371,,,40386,,-443.7942129,34,,,,,,27668,1300.335371
27678,-130,1630.450804,,,43171,,-443.7942129,79,,,,,,27678,1630.450804
27688,-160,2416.699919,,,44868,,-443.7942129,25,,,,,,27688,2416.699919
27697,-179,3299.800417,,,49435,,-443.7942129,82,,,,,,27697,3299.800417
27716,-201,3904.696162,,,51254,,-443.7942129,105,,,,,,27716,3904.696162
27725,-402,4646.241561,,,52109,,-443.7942129,42,,,,,,27725,4646.241561
27735,-422,13141.55566,,,52115,,-443.7942129,51,,,,,,27735,13141.55566
27745,-412,14134.36739,,,52164,,-443.7942129,44,,,,,,27745,14134.36739
27757,-351,13634.94917,,,19766,,-428.0391414,-19,,,,,,27757,13634.94917
27777,-285,10721.81659,,,20054,,-428.0391414,83,,,,,,27777,10721.81659
27786,-279,7844.675603,,,21260,,-428.0391414,34,,,,,,27786,7844.675603
27795,-285,7598.257441,,,34949,,-428.0391414,28,,,,,,27795,7598.257441
27804,-250,7844.675603,,,35502,,-428.0391414,66,,,,,,27804,7844.675603
27813,-213,6444.92269,,,37424,,-428.0391414,-17,,,,,,27813,6444.92269
27823,-176,5068.472614,,,45888,,-428.0391414,27,,,,,,27823,5068.472614
27837,-119,3806.945862,,,47531,,-428.0391414,27,,,,,,27837,3806.945862
27850,-85,2116.548093,,,47933,,-428.0391414,56,,,,,,27850,2116.548093
27860,-54,1277.721162,,,49513,,-428.0391414,-11,,,,,,27860,1277.721162
27869,-45,646.9911481,,,12956,,-397.1043182,275,,,,,,27869,646.9911481
27880,-22,492.1828421,,,16873,,-397.1043182,102,,,,,,27880,492.1828421
27896,15,168.2448272,,,17271,,-397.1043182,27,,,,,,27896,168.2448272
27907,103,-94.72063213,,,17544,,-397.1043182,36,,,,,,27907,-94.72063213
27916,88,-1704.368646,,,33907,,-397.1043182,29,,,,,,27916,-1704.368646
27928,113,-1345.958617,,,35445,,-397.1043182,18,,,,,,27928,-1345.958617
27939,100,-1958.508065,,,42284,,-397.1043182,32,,,,,,27939,-1958.508065
27957,149,-1630.450804,,,44196,,-397.1043182,49,,,,,,27957,-1630.450804
27966,153,-2965.426073,,,45880,,-397.1043182,41,,,,,,27966,-2965.426073
27975,136,-3085.637084,,,47559,,-397.1043182,56,,,,,,27975,-3085.637084
27984,154,-2585.925815,,,49386,,-397.1043182,58,,,,,,27984,-2585.925815
27993,152,-3115.937805,,,49428,,-397.1043182,42,,,,,,27993,-3115.937805
28002,147,-3055.435224,,,49671,,-397.1043182,68,,,,,,28002,-3055.435224
28017,153,-2905.920316,,,49911,,-397.1043182,32,,,,,,28017,-2905.920316
28029,142,-3085.637084,,,51630,,-397.1043182,54,,,,,,28029,-3085.637084
28041,152,-2758.92704,,,53094,,-397.1043182,46,,,,,,28041,-2758.92704
28050,167,-3055.435224,,,54375,,-397.1043182,32,,,,,,28050,-3055.435224
28060,167,-3518.701336,,,54450,,-397.1043182,15,,,,,,28060,-3518.701336
28076,173,-3518.701336,,,16849,,-381.929403,39,,,,,,28076,-3518.701336
28085,189,-3710.025151,,,25067,,-381.929403,32,,,,,,28085,-3710.025151
28095,210,-4236.433615,,,28891,,-381.929403,55,,,,,,28095,-4236.433615
28104,217,-4961.770141,,,30510,,-381.929403,42,,,,,,28104,-4961.770141
28117,216,-5211.914707,,,33893,,-381.929403,39,,,,,,28117,-5211.914707
28137,208,-5175.929185,,,33934,,-381.929403,44,,,,,,28137,-5175.929185
28147,372,-4891.056747,,,34379,,-381.929403,46,,,,,,28147,-4891.056747
28156,270,-11698.28261,,,35642,,-381.929403,28,,,,,,28156,-11698.28261
28165,278,-7233.58094,,,35943,,-381.929403,-7,,,,,,28165,-7233.58094
28174,395,-7557.443221,,,36800,,-381.929403,8,,,,,,28174,-7557.443221
28183,346,-12799.80468,,,39502,,-381.929403,69,,,,,,28183,-12799.80468
28197,308,-10493.53577,,,40823,,-381.929403,27,,,,,,28197,-10493.53577
28208,291,-8813.203006,,,42261,,-381.929403,44,,,,,,28208,-8813.203006
28218,200,-8093.701486,,,44287,,-381.929403,65,,,,,,28218,-8093.701486
28227,133,-4611.611278,,,44312,,-381.929403,0,,,,,,28227,-4611.611278
28237,9,-2500.835701,,,46713,,-381.929403,46,,,,,,28237,-2500.835701
28256,-98,-44.0221717,,,47781,,-381.929403,17,,,,,,28256,-44.0221717
28266,-166,1581.782668,,,49888,,-381.929403,35,,,,,,28266,1581.782668
28275,-143,3487.143594,,,53632,,-381.929403,1,,,,,,28275,3487.143594
28284,-133,2788.121885,,,53954,,-381.929403,61,,,,,,28284,2788.121885
28297,-152,2500.835701,,,54399,,-381.929403,-12,,,,,,28297,2500.835701
28317,-203,3055.435224,,,17581,,-352.1773736,25,,,,,,28317,3055.435224
28326,-373,4715.760669,,,24638,,-352.1773736,82,,,,,,28326,4715.760669
28334,-440,11745.48479,,,34599,,-352.1773736,31,,,,,,28334,11745.48479
28344,-440,15048.27482,,,35864,,-352.1773736,49,,,,,,28344,15048.27482
28352,-440,15048.27482,,,39916,,-352.1773736,29,,,,,,28352,15048.27482
28360,164,15048.27482,,,40838,,-352.1773736,19,,,,,,28360,15048.27482
28377,-46,-3424.313131,,,44793,,-352.1773736,45,,,,,,28377,-3424.313131
28390,-140,508.6797471,,,47513,,-352.1773736,41,,,,,,28390,508.6797471
28399,-83,2700.84557,,,51622,,-352.1773736,39,,,,,,28399,2700.84557
28408,-55,1232.891441,,,16264,,-337.6056963,-135,,,,,,28408,1232.891441
28418,-61,665.046073,,,17350,,-337.6056963,56,,,,,,28418,665.046073
28436,-21,776.7878994,,,22006,,-337.6056963,29,,,,,,28436,776.7878994
28447,32,156.9049487,,,24098,,-337.6056963,19,,,,,,28447,156.9049487
28458,44,-295.1431218,,,25096,,-337.6056963,65,,,,,,28458,-295.1431218
28469,66,-475.8682328,,,30177,,-337.6056963,55,,,,,,28469,-475.8682328
28478,86,-874.2257664,,,34255,,-337.6056963,27,,,,,,28478,-874.2257664
28497,108,-1300.335371,,,40726,,-337.6056963,49,,,,,,28497,-1300.335371
28506,142,-1829.967313,,,41005,,-337.6056963,27,,,,,,28506,-1829.967313
28515,184,-2758.92704,,,45873,,-337.6056963,39,,,,,,28515,-2758.92704
28524,261,-4069.437976,,,48040,,-337.6056963,29,,,,,,28524,-4069.437976
28534,366,-6874.932843,,,49881,,-337.6056963,38,,,,,,28534,-6874.932843
28545,397,-11416.40395,,,49896,,-337.6056963,35,,,,,,28545,-11416.40395
28558,333,-12897.14134,,,49902,,-337.6056963,39,,,,,,28558,-12897.14134
28568,274,-9907.72741,,,49944,,-337.6056963,45,,,,,,28568,-9907.72741
28580,216,-7394.921078,,,50558,,-337.6056963,-1,,,,,,28580,-7394.921078
28589,167,-5175.929185,,,53113,,-337.6056963,9,,,,,,28589,-5175.929185
28598,83,-3518.701336,,,17332,,-323.2407269,35,,,,,,28598,-3518.701336
28617,7,-1232.891441,,,18397,,-323.2407269,76,,,,,,28617,-1232.891441
28625,-120,-30.19637146,,,21273,,-323.2407269,28,,,,,,28625,-30.19637146
28636,-115,2143.283242,,,29652,,-323.2407269,45,,,,,,28636,2143.283242
28646,-105,2010.73325,,,33952,,-323.2407269,24,,,,,,28646,2010.73325
28655,-99,1754.250657,,,35307,,-323.2407269,29,,,,,,28655,1754.250657
28665,-130,1606.055286,,,40394,,-323.2407269,19,,,,,,28665,1606.055286
28680,-196,2416.699919,,,41063,,-323.2407269,32,,,,,,28680,2416.699919
28690,-254,4473.957005,,,47552,,-323.2407269,39,,,,,,28690,4473.957005
28700,-304,6600.217907,,,48055,,-323.2407269,27,,,,,,28700,6600.217907
28709,-372,8642.075867,,,49421,,-323.2407269,39,,,,,,28709,8642.075867
28718,-440,11698.28261,,,51742,,-323.2407269,17,,,,,,28718,11698.28261
28736,-440,15048.27482,,,53559,,-323.2407269,4,,,,,,28736,15048.27482
28745,-83,15048.27482,,,21028,,-295.1431218,-36,,,,,,28745,15048.27482
28754,-140,1232.891441,,,25077,,-295.1431218,32,,,,,,28754,1232.891441
28763,-139,2700.84557,,,25085,,-295.1431218,35,,,,,,28763,2700.84557
28773,-123,2671.959675,,,25381,,-295.1431218,14,,,,,,28773,2671.959675
28785,-108,2224.156621,,,28458,,-295.1431218,44,,,,,,28785,2224.156621
28799,-89,1829.967313,,,30546,,-295.1431218,29,,,,,,28799,1829.967313
28808,-72,1368.966148,,,33924,,-295.1431218,38,,,,,,28808,1368.966148
28817,-48,996.1080361,,,41072,,-295.1431218,28,,,,,,28817,996.1080361
28826,-27,542.2125371,,,42294,,-295.1431218,21,,,,,,28826,542.2125371
28834,-56,228.7459141,,,46296,,-295.1431218,48,,,,,,28834,228.7459141
28845,-24,683.2658888,,,49927,,-295.1431218,32,,,,,,28845,683.2658888
28858,2,191.7010809,,,49933,,-295.1431218,35,,,,,,28858,191.7010809
28869,29,-4.611611278,,,51849,,-295.1431218,68,,,,,,28869,-4.611611278
28881,38,-254.6271423,,,54385,,-295.1431218,32,,,,,,28881,-254.6271423
28891,55,-381.929403,,,54392,,-295.1431218,38,,,,,,28891,-381.929403
28900,63,-665.046073,,,15026,,-281.4169423,85,,,,,,28900,-665.046073
28917,81,-815.3020293,,,19333,,-281.4169423,-29,,,,,,28917,-815.3020293
28926,105,-1188.598636,,,24188,,-281.4169423,-27,,,,,,28926,-1188.598636
28935,122,-1754.250657,,,34010,,-281.4169423,45,,,,,,28935,-1754.250657
28944,130,-2197.087965,,,34608,,-281.4169423,31,,,,,,28944,-2197.087965
28954,150,-2416.699919,,,34616,,-281.4169423,5,,,,,,28954,-2416.699919
28963,169,-2995.32939,,,37021,,-281.4169423,42,,,,,,28963,-2995.32939
28978,206,-3582.100415,,,37320,,-281.4169423,29,,,,,,28978,-3582.100415
28989,267,-4820.682509,,,40769,,-281.4169423,19,,,,,,28989,-4820.682509
28998,382,-7113.356769,,,41095,,-281.4169423,29,,,,,,28998,-7113.356769
29007,440,-12173.14355,,,43852,,-281.4169423,73,,,,,,29007,-12173.14355
29017,440,-15048.27482,,,44189,,-281.4169423,39,,,,,,29017,-15048.27482
29036,329,-15048.27482,,,47925,,-281.4169423,41,,,,,,29036,-15048.27482
29047,234,-9729.746966,,,53946,,-281.4169423,38,,,,,,29047,-9729.746966
29056,123,-5836.217725,,,12680,,-254.6271423,28,,,,,,29056,-5836.217725
29065,4,-2224.156621,,,15457,,-254.6271423,28,,,,,,29065,-2224.156621
29077,-160,-13.04360643,,,16819,,-254.6271423,38,,,,,,29077,-13.04360643
29097,-220,3299.800417,,,22029,,-254.6271423,17,,,,,,29097,3299.800417
29105,-190,5320.368584,,,28881,,-254.6271423,38,,,,,,29105,5320.368584
29114,-193,4270.100539,,,30537,,-254.6271423,32,,,,,,29114,4270.100539
29123,-204,4371.632668,,,30558,,-254.6271423,21,,,,,,29123,4371.632668
29133,-225,4750.64907,,,30578,,-254.6271423,25,,,,,,29133,4750.64907
29143,-277,5502.771462,,,33916,,-254.6271423,32,,,,,,29143,5502.771462
29157,-368,7516.702342,,,34361,,-254.6271423,25,,,,,,29157,7516.702342
29168,-440,11510.10876,,,35336,,-254.6271423,18,,,,,,29168,11510.10876
29178,-14,15048.27482,,,35823,,-254.6271423,54,,,,,,29178,15048.27482
29187,-142,85.4082361,,,37341,,-254.6271423,25,,,,,,29187,85.4082361
29202,-119,2758.92704,,,39923,,-254.6271423,27,,,,,,29202,2758.92704
29221,-41,2116.548093,,,41106,,-254.6271423,21,,,,,,29221,2116.548093
29240,-39,428.0391414,,,46702,,-254.6271423,38,,,,,,29240,428.0391414
29278,-4,397.1043182,,,48048,,-254.6271423,34,,,,,,29278,397.1043182
29292,78,13.04360643,,,52179,,-254.6271423,27,,,,,,29292,13.04360643
29315,139,-1123.180625,,,12719,,-241.5709717,22,,,,,,29315,-1123.180625
29340,149,-2671.959675,,,13687,,-241.5709717,14,,,,,,29340,-2671.959675
29350,244,-2965.426073,,,15476,,-241.5709717,63,,,,,,29350,-2965.426073
29359,285,-6214.303196,,,19108,,-241.5709717,73,,,,,,29359,-6214.303196
29369,309,-7844.675603,,,20546,,-241.5709717,115,,,,,,29369,-7844.675603
29378,301,-8856.159269,,,21290,,-241.5709717,22,,,,,,29378,-8856.159269
29397,262,-8514.466528,,,22738,,-241.5709717,8,,,,,,29397,-8514.466528
29406,135,-6914.481773,,,30163,,-241.5709717,35,,,,,,29406,-6914.481773
29415,102,-2557.457068,,,33881,,-241.5709717,38,,,,,,29415,-2557.457068
29428,68,-1679.608086,,,34340,,-241.5709717,15,,,,,,29428,-1679.608086
29437,63,-914.2628397,,,34709,,-241.5709717,62,,,,,,29437,-914.2628397
29457,65,-815.3020293,,,34886,,-241.5709717,46,,,,,,29457,-815.3020293
29465,0,-854.4324506,,,34968,,-241.5709717,48,,,,,,29465,-854.4324506
29482,-132,0,,,35662,,-241.5709717,7,,,,,,29482,0
29491,-179,2472.683871,,,41080,,-241.5709717,25,,,,,,29491,2472.683871
29501,-230,3904.696162,,,44786,,-241.5709717,36,,,,,,29501,3904.696162
29518,-262,5687.212466,,,46075,,-241.5709717,52,,,,,,29518,5687.212466
29528,-301,6914.481773,,,49266,,-241.5709717,27,,,,,,29528,6914.481773
29538,-342,8514.466528,,,53087,,-241.5709717,39,,,,,,29538,8514.466528
29548,-400,10312.09388,,,17292,,-228.7459141,19,,,,,,29548,10312.09388
29557,-440,13043.60643,,,17703,,-228.7459141,25,,,,,,29557,13043.60643
29576,-110,15048.27482,,,20609,,-228.7459141,51,,,,,,29576,15048.27482
29585,-92,1881.034352,,,21229,,-228.7459141,56,,,,,,29585,1881.034352
29594,-56,1438.763594,,,24488,,-228.7459141,-38,,,,,,29594,1438.763594
29603,-28,683.2658888,,,25357,,-228.7459141,8,,,,,,29603,683.2658888
29613,-4,241.5709717,,,34277,,-228.7459141,12,,,,,,29613,241.5709717
29625,15,13.04360643,,,39931,,-228.7459141,14,,,,,,29625,13.04360643
29640,34,-94.72063213,,,40815,,-228.7459141,38,,,,,,29640,-94.72063213
29652,45,-323.2407269,,,40831,,-228.7459141,36,,,,,,29652,-323.2407269
29660,83,-492.1828421,,,41012,,-228.7459141,14,,,,,,29660,-492.1828421
29669,100,-1232.891441,,,43642,,-228.7459141,0,,,,,,29669,-1232.891441
29678,123,-1630.450804,,,44013,,-228.7459141,8,,,,,,29678,-1630.450804
29696,123,-2224.156621,,,44775,,-228.7459141,28,,,,,,29696,-2224.156621
29704,93,-2224.156621,,,45895,,-228.7459141,5,,,,,,29704,-2224.156621
29713,65,-1462.285326,,,47538,,-228.7459141,27,,,,,,29713,-1462.285326
29725,42,-854.4324506,,,47545,,-228.7459141,34,,,,,,29725,-854.4324506
29735,-7,-443.7942129,,,48068,,-228.7459141,18,,,,,,29735,-443.7942129
29745,-46,30.19637146,,,49273,,-228.7459141,17,,,,,,29745,30.19637146
29759,-61,508.6797471,,,50148,,-228.7459141,12,,,,,,29759,508.6797471
29768,21,776.7878994,,,52187,,-228.7459141,25,,,,,,29768,776.7878994
29777,1,-156.9049487,,,16000,,-203.8063504,2,,,,,,29777,-156.9049487
29787,-34,-1.630450804,,,17601,,-203.8063504,24,,,,,,29787,-1.630450804
29799,-66,323.2407269,,,17741,,-203.8063504,0,,,,,,29799,323.2407269
29817,-22,874.2257664,,,30500,,-203.8063504,38,,,,,,29817,874.2257664
29826,11,168.2448272,,,30597,,-203.8063504,15,,,,,,29826,168.2448272
29836,9,-59.4835291,,,32538,,-203.8063504,-48,,,,,,29836,-59.4835291
29844,8,-44.0221717,,,33307,,-203.8063504,19,,,,,,29844,-44.0221717
29854,12,-36.89289023,,,34370,,-203.8063504,38,,,,,,29854,-36.89289023
29864,14,-67.77656714,,,37377,,-203.8063504,5,,,,,,29864,-67.77656714
29877,-1,-85.4082361,,,41088,,-203.8063504,31,,,,,,29877,-85.4082361
29888,14,1.630450804,,,44887,,-203.8063504,14,,,,,,29888,1.630450804
29900,17,-85.4082361,,,52194,,-203.8063504,17,,,,,,29900,-85.4082361
29910,5,-114.282855,,,14508,,-191.7010809,-7,,,,,,29910,-114.282855
29919,-1,-18.22899415,,,16116,,-191.7010809,46,,,,,,29919,-18.22899415
29937,-9,1.630450804,,,17627,,-191.7010809,18,,,,,,29937,1.630450804
29945,-15,44.0221717,,,25829,,-191.7010809,-9,,,,,,29945,44.0221717
29954,-17,94.72063213,,,30697,,-191.7010809,19,,,,,,29954,94.72063213
29963,-14,114.282855,,,31405,,-191.7010809,15,,,,,,29963,114.282855
29972,-11,85.4082361,,,32896,,-191.7010809,42,,,,,,29972,85.4082361
29981,-8,59.4835291,,,33150,,-191.7010809,-66,,,,,,29981,59.4835291
29998,-5,36.89289023,,,33222,,-191.7010809,5,,,,,,29998,36.89289023
30008,5,18.22899415,,,33595,,-191.7010809,24,,,,,,30008,18.22899415
30017,8,-18.22899415,,,33608,,-191.7010809,15,,,,,,30017,-18.22899415
30026,2,-36.89289023,,,33980,,-191.7010809,8,,,,,,30026,-36.89289023
30035,-2,-4.611611278,,,39339,,-191.7010809,21,,,,,,30035,-4.611611278
30044,-4,4.611611278,,,12761,,-168.2448272,-17,,,,,,30044,4.611611278
30058,-8,13.04360643,,,20284,,-168.2448272,-113,,,,,,30058,13.04360643
30067,-9,36.89289023,,,21303,,-168.2448272,5,,,,,,30067,36.89289023
