,motorspeed,Šp‘¬“x,,,,,,motorSpeed,,,,,,,Šp‘¬“x
13727,0,-85.4082361,,,54174,,-6993.806131,235,,,,,,13727,-85.4082361
13768,0,0,,,29406,,-6914.481773,135,,,,,,13768,0
13789,0,0,,,43973,,-6914.481773,-93,,,,,,13789,0
13811,5,0,,,20942,,-6874.932843,301,,,,,,13811,0
13850,11,-18.22899415,,,28534,,-6874.932843,366,,,,,,13850,-18.22899415
13889,9,-59.4835291,,,40327,,-6874.932843,210,,,,,,13889,-59.4835291
13929,17,-44.0221717,,,40304,,-6835.459604,279,,,,,,13929,-44.0221717
13967,14,-114.282855,,,39817,,-6756.740786,321,,,,,,13967,-114.282855
14007,11,-85.4082361,,,50984,,-6639.233911,152,,,,,,14007,-85.4082361
14044,1,-59.4835291,,,50034,,-6522.416235,233,,,,,,14044,-59.4835291
14066,-2,-1.630450804,,,51333,,-6522.416235,186,,,,,,14066,-1.630450804
14092,-18,4.611611278,,,54163,,-6483.63087,264,,,,,,14092,4.611611278
14114,-22,124.5135045,,,39794,,-6444.92269,231,,,,,,14114,124.5135045
14135,-2,168.2448272,,,43347,,-6444.92269,289,,,,,,14135,168.2448272
14153,1,4.611611278,,,15127,,-6367.738503,92,,,,,,14153,4.611611278
14179,9,-1.630450804,,,50918,,-6367.738503,400,,,,,,14179,-1.630450804
14200,7,-44.0221717,,,19726,,-6252.544995,203,,,,,,14200,-44.0221717
14218,11,-30.19637146,,,29359,,-6214.303196,285,,,,,,14218,-30.19637146
14236,12,-59.4835291,,,50019,,-6176.139681,281,,,,,,14236,-59.4835291
14257,-1,-67.77656714,,,43933,,-5986.502038,271,,,,,,14257,-67.77656714
14283,-8,1.630450804,,,13042,,-5948.811644,170,,,,,,14283,1.630450804
14300,-7,36.89289023,,,20190,,-5948.811644,189,,,,,,14300,36.89289023
14322,-9,30.19637146,,,51291,,-5873.669318,305,,,,,,14322,30.19637146
14339,-11,44.0221717,,,54186,,-5873.669318,194,,,,,,14339,44.0221717
14357,-12,59.4835291,,,29056,,-5836.217725,123,,,,,,14357,59.4835291
14379,-15,67.77656714,,,39810,,-5836.217725,258,,,,,,14379,67.77656714
14399,-15,94.72063213,,,49754,,-5836.217725,326,,,,,,14399,94.72063213
14412,-12,94.72063213,,,19197,,-5798.846071,329,,,,,,14412,94.72063213
14453,24,67.77656714,,,39786,,-5798.846071,250,,,,,,14453,67.77656714
14508,-7,-191.7010809,,,50049,,-5798.846071,170,,,,,,14508,-191.7010809
14546,-29,30.19637146,,,39802,,-5724.343269,234,,,,,,14546,30.19637146
14573,-38,254.6271423,,,18796,,-5687.212466,312,,,,,,14573,254.6271423
14603,-22,381.929403,,,19257,,-5613.192931,190,,,,,,14603,381.929403
14626,-45,168.2448272,,,19670,,-5613.192931,146,,,,,,14626,168.2448272
14661,17,492.1828421,,,46867,,-5613.192931,123,,,,,,14661,492.1828421
14715,171,-114.282855,,,49792,,-5613.192931,207,,,,,,14715,-114.282855
14732,139,-3645.875756,,,44257,,-5429.564463,271,,,,,,14732,-3645.875756
14749,150,-2671.959675,,,54133,,-5429.564463,220,,,,,,14749,-2671.959675
14770,156,-2995.32939,,,18843,,-5356.685015,156,,,,,,14770,-2995.32939
14800,81,-3176.834545,,,43337,,-5320.368584,250,,,,,,14800,-3176.834545
14837,12,-1188.598636,,,51676,,-5320.368584,190,,,,,,14837,-1188.598636
14853,-71,-67.77656714,,,54141,,-5320.368584,216,,,,,,14853,-67.77656714
14876,-177,975.4280094,,,28117,,-5211.914707,216,,,,,,14876,975.4280094
14897,-177,3839.437468,,,40296,,-5211.914707,260,,,,,,14897,3839.437468
14909,-117,3839.437468,,,54156,,-5211.914707,251,,,,,,14909,3839.437468
14925,-116,2063.414565,,,28137,,-5175.929185,208,,,,,,14925,2063.414565
14940,-197,2037.017139,,,28589,,-5175.929185,167,,,,,,14940,2037.017139
14961,-187,4508.240107,,,54148,,-5175.929185,217,,,,,,14961,4508.240107
14980,-75,4169.366849,,,15516,,-5104.207945,278,,,,,,14980,4169.366849
15002,31,1059.008862,,,24742,,-5104.207945,298,,,,,,15002,1059.008862
15026,85,-281.4169423,,,46816,,-5104.207945,297,,,,,,15026,-281.4169423
15042,56,-1277.721162,,,24780,,-5068.472614,154,,,,,,15042,-1277.721162
15060,136,-683.2658888,,,28104,,-4961.770141,217,,,,,,15060,-683.2658888
15087,275,-2585.925815,,,40336,,-4961.770141,150,,,,,,15087,-2585.925815
15110,248,-7435.441137,,,54126,,-4961.770141,223,,,,,,15110,-7435.441137
15127,92,-6367.738503,,,28147,,-4891.056747,372,,,,,,15127,-6367.738503
15161,116,-1438.763594,,,49807,,-4855.827131,187,,,,,,15161,-1438.763594
15180,-38,-2037.017139,,,50909,,-4855.827131,248,,,,,,15180,-2037.017139
15217,-38,381.929403,,,25176,,-4820.682509,180,,,,,,15217,381.929403
15229,-125,381.929403,,,28989,,-4820.682509,267,,,,,,15229,381.929403
15244,-213,2278.624269,,,44273,,-4820.682509,38,,,,,,15244,2278.624269
15261,-294,5068.472614,,,43328,,-4750.64907,220,,,,,,15261,5068.472614
15284,-261,8219.183845,,,19741,,-4715.760669,106,,,,,,15284,8219.183845
15302,-234,6874.932843,,,39769,,-4715.760669,233,,,,,,15302,6874.932843
15318,-301,5836.217725,,,28227,,-4611.611278,133,,,,,,15318,5836.217725
15338,-368,8514.466528,,,43926,,-4611.611278,238,,,,,,15338,8514.466528
15355,-358,11510.10876,,,46808,,-4611.611278,214,,,,,,15355,11510.10876
15374,-241,11044.14854,,,47669,,-4542.610334,197,,,,,,15374,11044.14854
15397,45,6100.048149,,,21001,,-4508.240107,89,,,,,,15397,6100.048149
15414,-45,-492.1828421,,,47654,,-4508.240107,196,,,,,,15414,-492.1828421
15429,29,492.1828421,,,47676,,-4508.240107,194,,,,,,15429,492.1828421
15457,28,-254.6271423,,,54108,,-4508.240107,210,,,,,,15457,-254.6271423
15476,63,-241.5709717,,,47662,,-4473.957005,198,,,,,,15476,-241.5709717
15491,214,-815.3020293,,,47683,,-4405.653061,186,,,,,,15491,-815.3020293
15516,278,-5104.207945,,,54194,,-4405.653061,150,,,,,,15516,-5104.207945
15533,156,-7557.443221,,,43479,,-4303.856177,167,,,,,,15533,-7557.443221
15552,88,-3176.834545,,,19270,,-4270.100539,133,,,,,,15552,-3176.834545
15577,169,-1345.958617,,,42502,,-4270.100539,180,,,,,,15577,-1345.958617
15592,136,-3582.100415,,,47707,,-4270.100539,181,,,,,,15592,-3582.100415
15607,46,-2585.925815,,,50902,,-4270.100539,207,,,,,,15607,-2585.925815
15622,-72,-508.6797471,,,51684,,-4270.100539,157,,,,,,15622,-508.6797471
15645,-179,996.1080361,,,16946,,-4236.433615,-86,,,,,,15645,996.1080361
15664,-169,3904.696162,,,20207,,-4236.433615,85,,,,,,15664,3904.696162
15681,-181,3582.100415,,,28095,,-4236.433615,210,,,,,,15681,3582.100415
15700,-184,3970.320457,,,47634,,-4236.433615,183,,,,,,15700,3970.320457
15716,-45,4069.437976,,,33025,,-4169.366849,169,,,,,,15716,4069.437976
15732,19,492.1828421,,,43310,,-4169.366849,204,,,,,,15732,492.1828421
15759,-14,-135.0324354,,,49814,,-4169.366849,126,,,,,,15759,-135.0324354
15781,12,85.4082361,,,54101,,-4169.366849,197,,,,,,15781,85.4082361
15800,-18,-67.77656714,,,47692,,-4135.967481,190,,,,,,15800,-67.77656714
15823,-25,124.5135045,,,51341,,-4135.967481,147,,,,,,15823,124.5135045
15838,-5,203.8063504,,,28524,,-4069.437976,261,,,,,,15838,203.8063504
15854,-1,18.22899415,,,43302,,-4069.437976,187,,,,,,15854,18.22899415
15877,17,1.630450804,,,39533,,-4036.308326,176,,,,,,15877,1.630450804
15896,11,-114.282855,,,44250,,-4036.308326,223,,,,,,15896,-114.282855
15911,18,-59.4835291,,,47647,,-4036.308326,197,,,,,,15911,-59.4835291
15937,48,-124.5135045,,,51668,,-4036.308326,220,,,,,,15937,-124.5135045
15954,61,-542.2125371,,,47715,,-3970.320457,170,,,,,,15954,-542.2125371
15971,25,-776.7878994,,,25186,,-3937.462737,89,,,,,,15971,-776.7878994
16000,2,-203.8063504,,,42494,,-3937.462737,190,,,,,,16000,-203.8063504
16015,2,-4.611611278,,,42509,,-3937.462737,163,,,,,,16015,-4.611611278
16028,-38,-4.611611278,,,50064,,-3937.462737,166,,,,,,16028,-4.611611278
16058,-112,381.929403,,,20929,,-3904.696162,261,,,,,,16058,381.929403
16074,19,1932.567773,,,46793,,-3904.696162,200,,,,,,16074,1932.567773
16093,24,-135.0324354,,,40288,,-3839.437468,217,,,,,,16093,-135.0324354
16116,46,-191.7010809,,,54093,,-3839.437468,187,,,,,,16116,-191.7010809
16131,105,-508.6797471,,,39548,,-3806.945862,152,,,,,,16131,-508.6797471
16147,103,-1754.250657,,,50894,,-3806.945862,190,,,,,,16147,-1754.250657
16176,108,-1704.368646,,,25161,,-3742.23944,206,,,,,,16176,-1704.368646
16193,95,-1829.967313,,,40233,,-3742.23944,159,,,,,,16193,-1829.967313
16208,51,-1509.708524,,,51283,,-3742.23944,235,,,,,,16208,-1509.708524
16237,35,-593.8311337,,,28085,,-3710.025151,189,,,,,,16237,-593.8311337
16264,-135,-337.6056963,,,43250,,-3710.025151,162,,,,,,16264,-337.6056963
16285,-159,2557.457068,,,43533,,-3710.025151,162,,,,,,16285,2557.457068
16321,-143,3268.913176,,,14732,,-3645.875756,139,,,,,,16321,3268.913176
16355,-113,2788.121885,,,20163,,-3645.875756,272,,,,,,16355,2788.121885
16377,-24,1958.508065,,,43274,,-3645.875756,170,,,,,,16377,1958.508065
16392,46,191.7010809,,,47620,,-3645.875756,171,,,,,,16392,191.7010809
16409,93,-508.6797471,,,47627,,-3645.875756,189,,,,,,16409,-508.6797471
16424,106,-1462.285326,,,13081,,-3613.941192,58,,,,,,16424,-1462.285326
16443,88,-1779.370954,,,33017,,-3613.941192,187,,,,,,16443,-1779.370954
16463,146,-1345.958617,,,43226,,-3613.941192,167,,,,,,16463,-1345.958617
16500,292,-2876.318554,,,43281,,-3613.941192,170,,,,,,16500,-2876.318554
16538,95,-8135.457419,,,43288,,-3613.941192,170,,,,,,16538,-8135.457419
16565,0,-1509.708524,,,43294,,-3613.941192,184,,,,,,16565,-1509.708524
16602,-66,0,,,47725,,-3613.941192,135,,,,,,16602,0
16638,-200,874.2257664,,,50057,,-3613.941192,180,,,,,,16638,874.2257664
16664,-201,4611.611278,,,15592,,-3582.100415,136,,,,,,16664,4611.611278
16719,-174,4646.241561,,,28978,,-3582.100415,206,,,,,,16719,4646.241561
16734,-106,3742.23944,,,33038,,-3582.100415,126,,,,,,16734,3742.23944
16749,-32,1779.370954,,,43242,,-3582.100415,173,,,,,,16749,1779.370954
16764,5,295.1431218,,,28060,,-3518.701336,167,,,,,,16764,295.1431218
16787,7,-18.22899415,,,28076,,-3518.701336,173,,,,,,16787,-18.22899415
16802,29,-30.19637146,,,28598,,-3518.701336,83,,,,,,16802,-30.19637146
16819,38,-254.6271423,,,43234,,-3518.701336,169,,,,,,16819,-254.6271423
16849,39,-381.929403,,,43487,,-3518.701336,127,,,,,,16849,-381.929403
16873,102,-397.1043182,,,20147,,-3487.143594,171,,,,,,16873,-397.1043182
16911,189,-1679.608086,,,24156,,-3487.143594,160,,,,,,16911,-1679.608086
16946,-86,-4236.433615,,,50073,,-3487.143594,147,,,,,,16946,-4236.433615
16974,-180,1300.335371,,,28377,,-3424.313131,-46,,,,,,16974,1300.335371
17011,-81,3937.462737,,,39759,,-3424.313131,203,,,,,,17011,3937.462737
17047,-11,1188.598636,,,54085,,-3424.313131,177,,,,,,17047,1188.598636
17070,-15,59.4835291,,,42517,,-3393.040986,140,,,,,,17070,59.4835291
17088,-22,94.72063213,,,43914,,-3393.040986,200,,,,,,17088,94.72063213
17107,7,168.2448272,,,49746,,-3393.040986,234,,,,,,17107,168.2448272
17130,81,-30.19637146,,,50011,,-3393.040986,243,,,,,,17130,-30.19637146
17144,129,-1188.598636,,,27378,,-3361.864622,113,,,,,,17144,-1188.598636
17174,143,-2388.868614,,,40225,,-3361.864622,174,,,,,,17174,-2388.868614
17194,82,-2788.121885,,,43266,,-3361.864622,171,,,,,,17194,-2788.121885
17211,62,-1210.677518,,,43542,,-3361.864622,140,,,,,,17211,-1210.677518
17230,46,-795.9673128,,,24167,,-3299.800417,76,,,,,,17230,-795.9673128
17244,46,-508.6797471,,,50887,,-3299.800417,176,,,,,,17244,-508.6797471
17254,39,-508.6797471,,,40241,,-3268.913176,139,,,,,,17254,-508.6797471
17271,27,-397.1043182,,,43607,,-3268.913176,157,,,,,,17271,-397.1043182
17292,19,-228.7459141,,,47610,,-3268.913176,171,,,,,,17292,-228.7459141
17307,19,-135.0324354,,,43615,,-3207.429932,110,,,,,,17307,-135.0324354
17318,34,-135.0324354,,,51692,,-3207.429932,115,,,,,,17318,-135.0324354
17332,35,-323.2407269,,,14800,,-3176.834545,81,,,,,,17332,-323.2407269
17350,56,-337.6056963,,,15552,,-3176.834545,88,,,,,,17350,-337.6056963
17369,54,-683.2658888,,,18856,,-3176.834545,76,,,,,,17369,-683.2658888
17383,51,-646.9911481,,,43524,,-3176.834545,173,,,,,,17383,-646.9911481
17406,59,-593.8311337,,,43892,,-3176.834545,152,,,,,,17406,-593.8311337
17420,61,-738.9000851,,,54074,,-3176.834545,164,,,,,,17420,-738.9000851
17434,71,-776.7878994,,,24790,,-3115.937805,105,,,,,,17434,-776.7878994
17449,79,-975.4280094,,,27993,,-3115.937805,152,,,,,,17449,-975.4280094
17482,69,-1144.849335,,,46786,,-3115.937805,179,,,,,,17482,-1144.849335
17517,39,-934.5043671,,,27975,,-3085.637084,136,,,,,,17517,-934.5043671
17544,36,-397.1043182,,,28029,,-3085.637084,142,,,,,,17544,-397.1043182
17581,25,-352.1773736,,,28002,,-3055.435224,147,,,,,,17581,-352.1773736
17601,24,-203.8063504,,,28050,,-3055.435224,167,,,,,,17601,-203.8063504
17627,18,-191.7010809,,,39525,,-3055.435224,183,,,,,,17627,-191.7010809
17667,27,-124.5135045,,,39556,,-3055.435224,90,,,,,,17667,-124.5135045
17703,25,-228.7459141,,,39880,,-3055.435224,126,,,,,,17703,-228.7459141
17741,0,-203.8063504,,,43899,,-3055.435224,142,,,,,,17741,-203.8063504
17797,-5,0,,,47602,,-3055.435224,159,,,,,,17797,0
17820,-9,18.22899415,,,50991,,-3055.435224,48,,,,,,17820,18.22899415
17840,-4,44.0221717,,,14770,,-2995.32939,156,,,,,,17840,44.0221717
17857,1,13.04360643,,,28963,,-2995.32939,169,,,,,,17857,13.04360643
17872,9,-1.630450804,,,40281,,-2995.32939,177,,,,,,17872,-1.630450804
17885,7,-44.0221717,,,40343,,-2995.32939,75,,,,,,17885,-44.0221717
17899,1,-30.19637146,,,43884,,-2995.32939,156,,,,,,17899,-30.19637146
17919,-7,-1.630450804,,,51606,,-2995.32939,106,,,,,,17919,-1.630450804
17936,-7,30.19637146,,,54202,,-2995.32939,96,,,,,,17936,30.19637146
17946,-9,30.19637146,,,18474,,-2965.426073,137,,,,,,17946,30.19637146
17959,-34,44.0221717,,,27367,,-2965.426073,162,,,,,,17959,44.0221717
17977,2,323.2407269,,,27966,,-2965.426073,153,,,,,,17977,323.2407269
17994,14,-4.611611278,,,29350,,-2965.426073,244,,,,,,17994,-4.611611278
18007,-11,-85.4082361,,,43218,,-2965.426073,170,,,,,,18007,-85.4082361
18037,2,59.4835291,,,50875,,-2965.426073,160,,,,,,18037,59.4835291
18053,4,-4.611611278,,,28017,,-2905.920316,153,,,,,,18053,-4.611611278
18066,-8,-13.04360643,,,34140,,-2905.920316,142,,,,,,18066,-13.04360643
18082,-14,36.89289023,,,50081,,-2905.920316,126,,,,,,18082,36.89289023
18099,-14,85.4082361,,,50868,,-2905.920316,149,,,,,,18099,85.4082361
18112,-27,85.4082361,,,51348,,-2905.920316,105,,,,,,18112,85.4082361
18126,-29,228.7459141,,,16500,,-2876.318554,292,,,,,,18126,228.7459141
18139,-25,254.6271423,,,19701,,-2876.318554,245,,,,,,18139,254.6271423
18156,-19,203.8063504,,,43599,,-2876.318554,159,,,,,,18156,203.8063504
18170,-5,135.0324354,,,47347,,-2876.318554,126,,,,,,18170,135.0324354
18184,8,18.22899415,,,51653,,-2876.318554,183,,,,,,18184,18.22899415
18203,12,-36.89289023,,,18457,,-2817.418988,149,,,,,,18203,-36.89289023
18221,0,-67.77656714,,,33006,,-2817.418988,170,,,,,,18221,-67.77656714
18236,-35,0,,,34123,,-2817.418988,144,,,,,,18236,0
18249,-69,337.6056963,,,34131,,-2817.418988,147,,,,,,18249,337.6056963
18262,-117,934.5043671,,,17194,,-2788.121885,82,,,,,,18262,934.5043671
18279,-144,2063.414565,,,19170,,-2758.92704,233,,,,,,18279,2063.414565
18296,-130,2817.418988,,,28041,,-2758.92704,152,,,,,,18296,2817.418988
18309,-119,2416.699919,,,28515,,-2758.92704,184,,,,,,18309,2416.699919
18324,-120,2116.548093,,,34157,,-2758.92704,135,,,,,,18324,2116.548093
18341,-79,2143.283242,,,43907,,-2758.92704,163,,,,,,18341,2143.283242
