connected
15021,-16.0,0.0
15226,38.0,2.4502398545837423
15250,37.0,-4.073523688873776
15281,33.0,-3.9663256970613077
15295,24.0,-3.5375337298114364
15318,18.0,-2.5727518034992265
15342,14.0,-1.9295638526244199
15355,13.0,-1.5007718853745489
15372,10.0,-1.393573893562081
15402,11.0,-1.0719799181246776
15426,10.0,-1.1791779099371456
15439,9.0,-1.0719799181246776
15462,11.0,-0.9647819263122099
15483,13.0,-1.1791779099371456
15506,16.0,-1.393573893562081
15539,30.0,-1.7151678689994843
15562,33.0,-3.215939754374033
15575,30.0,-3.5375337298114364
15592,40.0,-3.215939754374033
15613,47.0,-4.2879196724987105
15632,23.0,-5.038305615185985
15670,24.0,-2.4655538116867586
15691,17.0,-2.5727518034992265
15712,27.0,-1.8223658608119522
15736,27.0,-2.89434577893663
15751,13.0,-2.89434577893663
15770,14.0,-1.393573893562081
15791,24.0,-1.5007718853745489
15811,11.0,-2.5727518034992265
15829,-2.0,-1.1791779099371456
15856,-3.0,0.3062799818229678
15873,-10.0,0.4594199727344517
15890,-17.0,1.531399909114839
15914,-15.0,2.603379845495226
15929,-12.0,2.2970998636722584
15948,-17.0,1.8376798909378067
15972,-12.0,2.603379845495226
15993,-12.0,1.8376798909378067
16006,-10.0,1.8376798909378067
16032,-8.0,1.531399909114839
16055,-9.0,1.2251199272918711
16078,-6.0,1.378259918203355
16102,-10.0,0.9188399454689034
16121,-15.0,1.531399909114839
16140,-9.0,2.2970998636722584
16167,-10.0,1.378259918203355
16200,-19.0,1.531399909114839
16241,-15.0,2.909659827318194
16265,-13.0,2.2970998636722584
16307,-17.0,1.9908198818492906
16347,-22.0,2.603379845495226
16388,-23.0,3.3690798000526456
16422,-23.0,3.5222197909641295
16446,-29.0,3.5222197909641295
16485,-29.0,4.441059736433033
16509,-27.0,4.441059736433033
16545,-23.0,4.134779754610065
16587,-17.0,3.5222197909641295
16625,-2.0,2.603379845495226
16665,6.0,0.3062799818229678
16705,9.0,-0.6431879508748066
16729,10.0,-0.9647819263122099
16768,3.0,-1.0719799181246776
16807,1.0,-0.3215939754374033
16838,3.0,-0.10719799181246777
16878,-0.0,-0.3215939754374033
16915,7.0,-0.0
16954,10.0,-0.7503859426872744
16992,9.0,-1.0719799181246776
17033,13.0,-0.9647819263122099
17073,18.0,-1.393573893562081
17097,24.0,-1.9295638526244199
17137,30.0,-2.5727518034992265
17187,30.0,-3.215939754374033
17225,17.0,-3.215939754374033
17268,-3.0,-1.8223658608119522
17325,-19.0,0.4594199727344517
17364,-22.0,2.909659827318194
17404,-17.0,3.3690798000526456
17444,-10.0,2.603379845495226
17483,-8.0,1.531399909114839
17507,-9.0,1.2251199272918711
17540,-10.0,1.378259918203355
17553,-12.0,1.531399909114839
17564,-13.0,1.8376798909378067
17578,-13.0,1.9908198818492906
17609,-13.0,1.9908198818492906
17622,-15.0,1.9908198818492906
17642,-12.0,2.2970998636722584
17670,-8.0,1.8376798909378067
17683,-3.0,1.2251199272918711
17712,3.0,0.4594199727344517
17733,14.0,-0.3215939754374033
17752,20.0,-1.5007718853745489
17770,27.0,-2.1439598362493553
17791,31.0,-2.89434577893663
17809,38.0,-3.323137746186501
17828,44.0,-4.073523688873776
17851,47.0,-4.716711639748582
17868,53.0,-5.038305615185985
17882,55.0,-5.681493566060792
17894,55.0,-5.8958895496857275
17911,57.0,-5.8958895496857275
17928,57.0,-6.110285533310663
17941,54.0,-6.110285533310663
17971,51.0,-5.78869155787326
17987,48.0,-5.467097582435857
18006,44.0,-5.145503606998453
18031,41.0,-4.716711639748582
18042,41.0,-4.3951176643111785
18054,40.0,-4.3951176643111785
18068,38.0,-4.2879196724987105
18091,36.0,-4.073523688873776
18109,33.0,-3.8591277052488397
18124,34.0,-3.5375337298114364
18136,33.0,-3.6447317216239044
18152,34.0,-3.5375337298114364
18164,34.0,-3.6447317216239044
18178,34.0,-3.6447317216239044
18191,34.0,-3.6447317216239044
18211,34.0,-3.6447317216239044
18223,33.0,-3.6447317216239044
18236,33.0,-3.5375337298114364
18249,31.0,-3.5375337298114364
18280,33.0,-3.323137746186501
18294,30.0,-3.5375337298114364
18306,27.0,-3.215939754374033
18331,30.0,-2.89434577893663
18348,30.0,-3.215939754374033
18362,28.0,-3.215939754374033
18391,28.0,-3.0015437707490977
18415,27.0,-3.0015437707490977
18454,26.0,-2.89434577893663
18469,24.0,-2.787147787124162
18483,21.0,-2.5727518034992265
18494,17.0,-2.251157828061823
18515,14.0,-1.8223658608119522
18528,11.0,-1.5007718853745489
18543,11.0,-1.1791779099371456
18554,10.0,-1.1791779099371456
18571,11.0,-1.0719799181246776
18582,11.0,-1.1791779099371456
18596,11.0,-1.1791779099371456
18608,11.0,-1.1791779099371456
18619,11.0,-1.1791779099371456
18634,11.0,-1.1791779099371456
18646,10.0,-1.1791779099371456
18660,11.0,-1.0719799181246776
18671,11.0,-1.1791779099371456
18691,11.0,-1.1791779099371456
18703,11.0,-1.1791779099371456
18716,10.0,-1.1791779099371456
18728,7.0,-1.0719799181246776
18751,4.0,-0.7503859426872744
18762,4.0,-0.42879196724987106
18775,-0.0,-0.42879196724987106
18789,-5.0,-0.0
18811,-6.0,0.7656999545574195
18822,-10.0,0.9188399454689034
18839,-17.0,1.531399909114839
18855,-20.0,2.603379845495226
18876,-26.0,3.062799818229678
18887,-30.0,3.981639763698581
18907,-33.0,4.594199727344517
18931,-35.0,5.053619700078968
18943,-35.0,5.359899681901936
18956,-35.0,5.359899681901936
18967,-37.0,5.359899681901936
