,motorSpeed
2787.425134,-13
2787.425134,-3
2787.425134,-10
2787.425134,-7
2787.425134,1
2787.425134,0
2787.425134,-13
2787.425134,-13
2787.425134,-18
2787.425134,1
2787.425134,-5
2787.425134,0
2787.425134,-7
2787.425134,-27
2787.425134,-10
2787.425134,-10
2787.425134,-25
2787.425134,-18
2787.425134,-20
2787.425134,-28
2787.425134,-7
2787.425134,-7
2787.425134,-18
2787.425134,-18
2787.425134,-5
2787.425134,-8
2787.425134,-11
2787.425134,-14
2787.425134,-21
2787.425134,-15
2787.425134,-8
2787.425134,-11
2787.425134,-17
2787.425134,-14
2787.425134,-11
2787.425134,-8
2787.425134,-10
2787.425134,-18
2787.425134,-18
2787.425134,-13
2787.425134,-4
2787.425134,-7
2787.425134,-4
2787.425134,-13
2787.425134,-11
2787.425134,-7
2787.425134,-10
2787.425134,1
2787.425134,1
2787.425134,1
2787.425134,1
